region_code,id,full_name,name1,name2,name3
반포면-2300,2300,충청남도 공주시 반포면,충청남도,공주시,반포면
웅진동-2307,2307,충청남도 공주시 웅진동,충청남도,공주시,웅진동
계룡면-2299,2299,충청남도 공주시 계룡면,충청남도,공주시,계룡면
우성면-2303,2303,충청남도 공주시 우성면,충청남도,공주시,우성면
정안면-2302,2302,충청남도 공주시 정안면,충청남도,공주시,정안면
교동-7020,7020,충청남도 공주시 교동,충청남도,공주시,교동
중동-7038,7038,충청남도 공주시 중동,충청남도,공주시,중동
산성동-7028,7028,충청남도 공주시 산성동,충청남도,공주시,산성동
봉황동-7027,7027,충청남도 공주시 봉황동,충청남도,공주시,봉황동
이인면-2297,2297,충청남도 공주시 이인면,충청남도,공주시,이인면
금성동-7021,7021,충청남도 공주시 금성동,충청남도,공주시,금성동
중학동-2306,2306,충청남도 공주시 중학동,충청남도,공주시,중학동
탄천면-2298,2298,충청남도 공주시 탄천면,충청남도,공주시,탄천면
사곡면-2304,2304,충청남도 공주시 사곡면,충청남도,공주시,사곡면
신풍면-2305,2305,충청남도 공주시 신풍면,충청남도,공주시,신풍면
반죽동-7025,7025,충청남도 공주시 반죽동,충청남도,공주시,반죽동
쌍신동-7034,7034,충청남도 공주시 쌍신동,충청남도,공주시,쌍신동
송선동-7032,7032,충청남도 공주시 송선동,충청남도,공주시,송선동
소학동-7031,7031,충청남도 공주시 소학동,충청남도,공주시,소학동
검상동-7019,7019,충청남도 공주시 검상동,충청남도,공주시,검상동
월미동-7036,7036,충청남도 공주시 월미동,충청남도,공주시,월미동
봉정동-7026,7026,충청남도 공주시 봉정동,충청남도,공주시,봉정동
신기동-7033,7033,충청남도 공주시 신기동,충청남도,공주시,신기동
상왕동-7029,7029,충청남도 공주시 상왕동,충청남도,공주시,상왕동
동현동-7023,7023,충청남도 공주시 동현동,충청남도,공주시,동현동
오곡동-7035,7035,충청남도 공주시 오곡동,충청남도,공주시,오곡동
태봉동-7039,7039,충청남도 공주시 태봉동,충청남도,공주시,태봉동
석장리동-7030,7030,충청남도 공주시 석장리동,충청남도,공주시,석장리동
주미동-7037,7037,충청남도 공주시 주미동,충청남도,공주시,주미동
무릉동-7024,7024,충청남도 공주시 무릉동,충청남도,공주시,무릉동
동대동-7064,7064,충청남도 보령시 동대동,충청남도,보령시,동대동
명천동-7065,7065,충청남도 보령시 명천동,충청남도,보령시,명천동
대천4동-2329,2329,충청남도 보령시 대천4동,충청남도,보령시,대천4동
대천1동-2326,2326,충청남도 보령시 대천1동,충청남도,보령시,대천1동
대천3동-2328,2328,충청남도 보령시 대천3동,충청남도,보령시,대천3동
대천동-7063,7063,충청남도 보령시 대천동,충청남도,보령시,대천동
죽정동-7068,7068,충청남도 보령시 죽정동,충청남도,보령시,죽정동
대천2동-2327,2327,충청남도 보령시 대천2동,충청남도,보령시,대천2동
주교면-2325,2325,충청남도 보령시 주교면,충청남도,보령시,주교면
웅천읍-2313,2313,충청남도 보령시 웅천읍,충청남도,보령시,웅천읍
대천5동-2330,2330,충청남도 보령시 대천5동,충청남도,보령시,대천5동
남포면-2321,2321,충청남도 보령시 남포면,충청남도,보령시,남포면
신흑동-7066,7066,충청남도 보령시 신흑동,충청남도,보령시,신흑동
궁촌동-7060,7060,충청남도 보령시 궁촌동,충청남도,보령시,궁촌동
청라면-2320,2320,충청남도 보령시 청라면,충청남도,보령시,청라면
오천면-2315,2315,충청남도 보령시 오천면,충청남도,보령시,오천면
주포면-2314,2314,충청남도 보령시 주포면,충청남도,보령시,주포면
천북면-2318,2318,충청남도 보령시 천북면,충청남도,보령시,천북면
성주면-2324,2324,충청남도 보령시 성주면,충청남도,보령시,성주면
청소면-2319,2319,충청남도 보령시 청소면,충청남도,보령시,청소면
주산면-2322,2322,충청남도 보령시 주산면,충청남도,보령시,주산면
미산면-2323,2323,충청남도 보령시 미산면,충청남도,보령시,미산면
내항동-7062,7062,충청남도 보령시 내항동,충청남도,보령시,내항동
남곡동-7061,7061,충청남도 보령시 남곡동,충청남도,보령시,남곡동
요암동-7067,7067,충청남도 보령시 요암동,충청남도,보령시,요암동
화산동-7069,7069,충청남도 보령시 화산동,충청남도,보령시,화산동
배방읍-2333,2333,충청남도 아산시 배방읍,충청남도,아산시,배방읍
탕정면-2335,2335,충청남도 아산시 탕정면,충청남도,아산시,탕정면
둔포면-2337,2337,충청남도 아산시 둔포면,충청남도,아산시,둔포면
신창면-2342,2342,충청남도 아산시 신창면,충청남도,아산시,신창면
모종동-7086,7086,충청남도 아산시 모종동,충청남도,아산시,모종동
음봉면-2336,2336,충청남도 아산시 음봉면,충청남도,아산시,음봉면
용화동-7094,7094,충청남도 아산시 용화동,충청남도,아산시,용화동
풍기동-7100,7100,충청남도 아산시 풍기동,충청남도,아산시,풍기동
온천동-7093,7093,충청남도 아산시 온천동,충청남도,아산시,온천동
권곡동-7082,7082,충청남도 아산시 권곡동,충청남도,아산시,권곡동
온양3동-2345,2345,충청남도 아산시 온양3동,충청남도,아산시,온양3동
온양1동-2343,2343,충청남도 아산시 온양1동,충청남도,아산시,온양1동
온양2동-2344,2344,충청남도 아산시 온양2동,충청남도,아산시,온양2동
온양5동-2347,2347,충청남도 아산시 온양5동,충청남도,아산시,온양5동
방축동-7087,7087,충청남도 아산시 방축동,충청남도,아산시,방축동
인주면-2339,2339,충청남도 아산시 인주면,충청남도,아산시,인주면
염치읍-2332,2332,충청남도 아산시 염치읍,충청남도,아산시,염치읍
온양6동-2348,2348,충청남도 아산시 온양6동,충청남도,아산시,온양6동
영인면-2338,2338,충청남도 아산시 영인면,충청남도,아산시,영인면
실옥동-7092,7092,충청남도 아산시 실옥동,충청남도,아산시,실옥동
온양4동-2346,2346,충청남도 아산시 온양4동,충청남도,아산시,온양4동
배미동-7088,7088,충청남도 아산시 배미동,충청남도,아산시,배미동
도고면-2341,2341,충청남도 아산시 도고면,충청남도,아산시,도고면
득산동-7085,7085,충청남도 아산시 득산동,충청남도,아산시,득산동
좌부동-7098,7098,충청남도 아산시 좌부동,충청남도,아산시,좌부동
장존동-7096,7096,충청남도 아산시 장존동,충청남도,아산시,장존동
선장면-2340,2340,충청남도 아산시 선장면,충청남도,아산시,선장면
송악면-2334,2334,충청남도 아산시 송악면,충청남도,아산시,송악면
법곡동-7089,7089,충청남도 아산시 법곡동,충청남도,아산시,법곡동
신인동-7091,7091,충청남도 아산시 신인동,충청남도,아산시,신인동
신동-7090,7090,충청남도 아산시 신동,충청남도,아산시,신동
읍내동-7095,7095,충청남도 아산시 읍내동,충청남도,아산시,읍내동
초사동-7099,7099,충청남도 아산시 초사동,충청남도,아산시,초사동
남동-7084,7084,충청남도 아산시 남동,충청남도,아산시,남동
점양동-7097,7097,충청남도 아산시 점양동,충청남도,아산시,점양동
기산동-7083,7083,충청남도 아산시 기산동,충청남도,아산시,기산동
예천동-7075,7075,충청남도 서산시 예천동,충청남도,서산시,예천동
성연면-2355,2355,충청남도 서산시 성연면,충청남도,서산시,성연면
읍내동-7078,7078,충청남도 서산시 읍내동,충청남도,서산시,읍내동
동문동-7072,7072,충청남도 서산시 동문동,충청남도,서산시,동문동
석림동-7073,7073,충청남도 서산시 석림동,충청남도,서산시,석림동
대산읍-2350,2350,충청남도 서산시 대산읍,충청남도,서산시,대산읍
동문2동-2362,2362,충청남도 서산시 동문2동,충청남도,서산시,동문2동
석남동-2364,2364,충청남도 서산시 석남동,충청남도,서산시,석남동
동문1동-2361,2361,충청남도 서산시 동문1동,충청남도,서산시,동문1동
지곡면-2354,2354,충청남도 서산시 지곡면,충청남도,서산시,지곡면
해미면-2358,2358,충청남도 서산시 해미면,충청남도,서산시,해미면
음암면-2356,2356,충청남도 서산시 음암면,충청남도,서산시,음암면
인지면-2351,2351,충청남도 서산시 인지면,충청남도,서산시,인지면
부춘동-2360,2360,충청남도 서산시 부춘동,충청남도,서산시,부춘동
운산면-2357,2357,충청남도 서산시 운산면,충청남도,서산시,운산면
고북면-2359,2359,충청남도 서산시 고북면,충청남도,서산시,고북면
부석면-2352,2352,충청남도 서산시 부석면,충청남도,서산시,부석면
죽성동-7081,7081,충청남도 서산시 죽성동,충청남도,서산시,죽성동
수석동-2363,2363,충청남도 서산시 수석동,충청남도,서산시,수석동
팔봉면-2353,2353,충청남도 서산시 팔봉면,충청남도,서산시,팔봉면
갈산동-7070,7070,충청남도 서산시 갈산동,충청남도,서산시,갈산동
잠홍동-7079,7079,충청남도 서산시 잠홍동,충청남도,서산시,잠홍동
양대동-7074,7074,충청남도 서산시 양대동,충청남도,서산시,양대동
오남동-7076,7076,충청남도 서산시 오남동,충청남도,서산시,오남동
온석동-7077,7077,충청남도 서산시 온석동,충청남도,서산시,온석동
장동-7080,7080,충청남도 서산시 장동,충청남도,서산시,장동
덕지천동-7071,7071,충청남도 서산시 덕지천동,충청남도,서산시,덕지천동
취암동-2379,2379,충청남도 논산시 취암동,충청남도,논산시,취암동
내동-7042,7042,충청남도 논산시 내동,충청남도,논산시,내동
연무읍-2367,2367,충청남도 논산시 연무읍,충청남도,논산시,연무읍
강경읍-2366,2366,충청남도 논산시 강경읍,충청남도,논산시,강경읍
부창동-2380,2380,충청남도 논산시 부창동,충청남도,논산시,부창동
강산동-7040,7040,충청남도 논산시 강산동,충청남도,논산시,강산동
대교동-7043,7043,충청남도 논산시 대교동,충청남도,논산시,대교동
연산면-2373,2373,충청남도 논산시 연산면,충청남도,논산시,연산면
은진면-2377,2377,충청남도 논산시 은진면,충청남도,논산시,은진면
양촌면-2375,2375,충청남도 논산시 양촌면,충청남도,논산시,양촌면
화지동-7048,7048,충청남도 논산시 화지동,충청남도,논산시,화지동
반월동-7046,7046,충청남도 논산시 반월동,충청남도,논산시,반월동
부적면-2372,2372,충청남도 논산시 부적면,충청남도,논산시,부적면
성동면-2368,2368,충청남도 논산시 성동면,충청남도,논산시,성동면
광석면-2369,2369,충청남도 논산시 광석면,충청남도,논산시,광석면
상월면-2371,2371,충청남도 논산시 상월면,충청남도,논산시,상월면
